"id_producto","id_categoria","codigo_interno","tipo_vehiculo","marca","modelo","año","color","chasis","motor","kilometraje","combustible","transmision","numero_puertas","capacidad_pasajeros","estado","procedencia","ubicacion_actual","costo_base","precio_contado_sugerido","precio_venta_minimo","estado_disponibilidad","observaciones","fecha_ingreso","fecha_registro","activo"
50,1,"NCP1000134847",NULL,"OTRO","RACTIS Color: PERLA Año: 2009 Motor: 1500 c.c",2009,"PERLA","NCP1000134847","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"33592000.00","0.00","0.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-12-16","2026-02-03 01:33:20.122474",True
51,1,"NCP100110413",NULL,"OTRO","VITZ RS Color: GRIS Año: 2001 Motor: 1300 c.c",2001,"GRIS","NCP100110413","1300",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","28600000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-09","2026-02-03 01:33:20.122474",True
52,1,"NCP100111323",NULL,"OTRO","VITZ RS Color: GRIS Año: 2001 Motor: 1300 c.c",2001,"GRIS","NCP100111323","1300",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","64800000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-14","2026-02-03 01:33:20.122474",True
53,1,"NCP1002014700",NULL,"OTRO","RACTIS Color: NEGRO Año: 2010 Motor: 1500 c.c",2010,"NEGRO","NCP1002014700","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","78000000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-13","2026-02-03 01:33:20.122474",True
54,1,"NCP1100004157",NULL,"OTRO","IST Color: PERLA Año: 2007 Motor: 1500 c.c",2007,"PERLA","NCP1100004157","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","80120000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-14","2026-02-03 01:33:20.122474",True
55,1,"NCP110-0008535",NULL,"OTRO","IST Color: PERLA Año: 2007 Motor: 1500 c.c",2007,"PERLA","NCP110-0008535","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"47952000.00","0.00","86000000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-20","2026-02-03 01:33:20.122474",True
56,1,"NCP1100018407",NULL,"OTRO","IST Color: VIOLETA METALIZADO Año: 2008 Motor: 1500 c.c",2008,"VIOLETA METALIZADO","NCP1100018407","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"42089000.00","0.00","84000000.00","DISPONIBLE","Migrado de SQL Server. Chapa: ","2025-12-16","2026-02-03 01:33:20.122474",True
57,1,"NCP12-0150123",NULL,"OTRO","PLATZ Color: CHAMPAGNE Año: 2001 Motor: 1500 c.c",2001,"CHAMPAGNE","NCP12-0150123","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"31757000.00","0.00","70000000.00","DISPONIBLE","Migrado de SQL Server. Chapa: ","2025-08-19","2026-02-03 01:33:20.122474",True
58,1,"NCP1202031798",NULL,"OTRO","RACTIS Color: PLATA Año: 2011 Motor: 1500 c.c",2011,"PLATA","NCP1202031798","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"36280000.00","0.00","82000000.00","DISPONIBLE","Migrado de SQL Server. Chapa: ","2025-12-16","2026-02-03 01:33:20.122474",True
59,1,"NCP1202048201",NULL,"OTRO","RACTIS Color: ROJO Año: 2012 Motor: 1500 c.c",2012,"ROJO","NCP1202048201","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","85500000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-13","2026-02-03 01:33:20.122474",True
60,1,"NCP120352110",NULL,"OTRO","PLATZ Color: PERLA Año: 2004 Motor: 1300 c.c",2004,"PERLA","NCP120352110","1300",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","62500000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-09-26","2026-02-03 01:33:20.122474",True
61,1,"NCP1206001033",NULL,"OTRO","TREZIA Color: PLATA Año: 2011 Motor: 1500 c.c",2011,"PLATA","NCP1206001033","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","73000000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-10","2026-02-03 01:33:20.122474",True
62,1,"NCP130026674",NULL,"OTRO","VITZ RS Color: AZUL Año: 2001 Motor: 1300 c.c",2001,"AZUL","NCP130026674","1300",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","65000000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-01","2026-02-03 01:33:20.122474",True
63,1,"NCP1312000954",NULL,"OTRO","VITZ RS Color: TURQUESA Año: 2011 Motor: 1500 c.c",2011,"TURQUESA","NCP1312000954","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"47275000.00","0.00","92000000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-11-13","2026-02-03 01:33:20.122474",True
64,1,"NCP1312002945",NULL,"OTRO","VITZ RS Color: NEGRO Año: 2011 Motor: 1500 c.c",2011,"NEGRO","NCP1312002945","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","81000000.00","VENDIDO","Migrado de SQL Server. Chapa: ANAV503","2025-10-17","2026-02-03 01:33:20.122474",True
65,1,"NCP1312003880",NULL,"OTRO","VITZ RS Color: GRIS Año: 2011 Motor: 1500 c.c",2011,"GRIS","NCP1312003880","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","78000000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-03","2026-02-03 01:33:20.122474",True
66,1,"NCP1312009432",NULL,"OTRO","VITZ RS Color: BLANCO Año: 2011 Motor: 1500 c.c",2011,"BLANCO","NCP1312009432","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","82200000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-01","2026-02-03 01:33:20.122474",True
67,1,"NCP1312010846",NULL,"OTRO","VITZ RS Color: GRIS Año: 2012 Motor: 1500 c.c",2012,"GRIS","NCP1312010846","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"49028000.00","0.00","94000000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-11-13","2026-02-03 01:33:20.122474",True
68,1,"NCP160019988",NULL,"OTRO","PLATZ Color: PERLA Año: 2004 Motor: 1300 c.c",2004,"PERLA","NCP160019988","1300",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","33000000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-10","2026-02-03 01:33:20.122474",True
69,1,"NCP200068252",NULL,"OTRO","FUNCARGO Color: PLATA Año: 2000 Motor: 1300 c.c",2000,"PLATA","NCP200068252","1300",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","61150000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-10","2026-02-03 01:33:20.122474",True
70,1,"NCP200121892",NULL,"OTRO","FUNCARGO Color: PLATA Año: 2000 Motor: 1300 c.c",2000,"PLATA","NCP200121892","1300",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","57000000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-10","2026-02-03 01:33:20.122474",True
71,1,"NCP200125597",NULL,"OTRO","FUNCARGO Color: BLANCO Año: 2000 Motor: 1500 c.c",2000,"BLANCO","NCP200125597","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","62100000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-10","2026-02-03 01:33:20.122474",True
72,1,"NCP20-0131168",NULL,"OTRO","FUNCARGO Color: PLATA Año: 2000 Motor: 1300 c.c",2000,"PLATA","NCP20-0131168","1300",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"33347000.00","0.00","64000000.00","VENDIDO","Migrado de SQL Server. Chapa: AAXC916","2025-10-17","2026-02-03 01:33:20.122474",True
73,1,"NCP20-0249324",NULL,"OTRO","FUNCARGO Color: GRIS Año: 2002 Motor: 1300 c.c",2002,"GRIS","NCP20-0249324","1300",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"32604000.00","0.00","64000000.00","VENDIDO","Migrado de SQL Server. Chapa: AAVX561","2025-10-17","2026-02-03 01:33:20.122474",True
